No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
738,FCEM,Fidelity Funds - Fidelity Emerging Markets Fund,10.54M,10.61,3.21%,-
739,ADCO,Adcore Inc.,10.53M,0.18,-,31.07M
740,MSV,Minco Silver Corporation,10.37M,0.17,-,-
741,VQS,VIQ Solutions Inc.,10.33M,0.21,2.50%,57.41M
742,GRN,Greenlane Renewables Inc.,10.03M,0.07,7.69%,62.06M
743,APS,Aptose Biosciences Inc.,9.96M,0.55,-,-
744,NUMI,Numinus Wellness Inc.,9.62M,0.04,16.67%,22.48M
745,AMM,Almaden Minerals Ltd.,9.61M,0.07,-7.14%,-
746,FTHI,Fidelity Funds - Fidelity Tactical High Income Fund,9.60M,10.29,-0.39%,-
747,IVQ,Invesque Inc.,8.71M,0.14,-9.68%,244.33M
748,SXI,Synex Renewable Energy Corporation,8.32M,1.79,1.13%,2.76M
749,CTF.UN,Citadel Income Fund,8.16M,2.6,3.17%,3.14M
750,UTES,Evolve Canadian Utilities Enhanced Yield Index Fund,8.14M,10.17,0.10%,-
751,KRN,Karnalyte Resources Inc.,7.99M,0.14,-10.00%,-
752,BRY,Bri-Chem Corp.,7.80M,0.3,9.26%,94.08M
753,CRWN,Crown Capital Partners Inc.,7.71M,1.36,-1.45%,55.58M
754,BR,Big Rock Brewery Inc.,7.70M,1.09,-0.91%,41.45M
755,SGLD,Sabre Gold Mines Corp.,7.17M,0.1,5.56%,-
756,SVB,"Silver Bull Resources, Inc.",6.60M,0.14,-3.57%,-
757,ASND,Ascendant Resources Inc.,6.53M,0.04,-,-
758,BABY,Else Nutrition Holdings Inc.,6.29M,0.03,-7.14%,8.83M
759,FINO,Franklin Innovation Fund,5.92M,23.69,-0.42%,-
760,TMD,Titan Medical Inc.,5.70M,0.05,-9.09%,615.89K
761,AUMN,Golden Minerals Company,5.36M,0.38,2.74%,3.85M
762,SCY,Scandium International Mining Corp.,5.32M,0.02,-,-
763,ENI.UN,Energy Income Fund,5.14M,1.69,0.60%,726.28K
764,AAB,Aberdeen International Inc.,5.07M,0.04,-12.50%,-8.90M
765,FCSI,Franklin ClearBridge Sustainable International Growth Fund,4.50M,22.5,-,-
766,NCP,Nickel Creek Platinum Corp.,4.32M,0.85,2.41%,-
767,YCM,New Commerce Split Fund,3.90M,4.84,11.26%,-
768,APLI,Appili Therapeutics Inc.,3.64M,0.03,-,827.41K
769,FWCP,Franklin Western Asset Core Plus Bond Fund,3.57M,17.46,-,-
770,ATSX,Accelerate Canadian Long Short Equity Fund,3.10M,24.8,-0.24%,-
771,CNT,Century Global Commodities Corporation,2.96M,0.03,-,12.82M
772,MKZ.UN,Mackenzie Master Limited Partnership,2.76M,0.44,-,830.74K
773,RTI,Radient Technologies Inc.,2.70M,-,-,3.15M
774,SMC,Sulliden Mining Capital Inc.,1.96M,0.02,-,-
775,TXT.UN,Top 10 Split Trust,1.55M,3.1,-,932.59K
776,AXIS,Axis Auto Finance Inc.,1.21M,0.01,-,8.11M
777,SBN,Mulvihill S Split Corp.,1.08M,2.63,-4.36%,22.05K
778,GRO,Franklin Growth Etf Portfolio,1.06M,0.05,-9.09%,-
779,IOM,Assure Holdings Corp.,116.91K,5.4,-7.69%,-5.70M
